month,town,resale_price
2019-03,YISHUN,585000
2019-03,YISHUN,600000
2019-03,YISHUN,600000
2019-03,YISHUN,615000
2019-04,SEMBAWANG,345000
2019-04,SEMBAWANG,350000
2019-04,SEMBAWANG,355000
2019-04,SEMBAWANG,355000
2019-04,SEMBAWANG,370000
2019-04,SEMBAWANG,403888
2019-04,WOODLANDS,345000
2019-04,WOODLANDS,368000
2019-04,WOODLANDS,368000
2019-04,WOODLANDS,368888
2019-04,WOODLANDS,370000
2019-04,WOODLANDS,378000
2019-04,WOODLANDS,378000
2019-04,WOODLANDS,400000
2019-04,WOODLANDS,413000
2019-04,WOODLANDS,415000
2019-04,WOODLANDS,415000
2019-04,WOODLANDS,420000
2019-04,WOODLANDS,422000
2019-04,WOODLANDS,424000
2019-04,WOODLANDS,425000
2019-04,WOODLANDS,458000
2019-04,YISHUN,358000
2019-04,YISHUN,365000
2019-04,YISHUN,370000
2019-04,YISHUN,375000
2019-04,YISHUN,380000
2019-04,YISHUN,385000
2019-04,YISHUN,385000
2019-04,YISHUN,387500
2019-04,YISHUN,390000
2019-04,YISHUN,395000
2019-04,YISHUN,400000
2019-04,YISHUN,400000
2019-04,YISHUN,402000
2019-04,YISHUN,405000
2019-04,YISHUN,405000
2019-04,YISHUN,405000
2019-04,YISHUN,415000
2019-04,YISHUN,418000
2019-04,YISHUN,420000
2019-04,YISHUN,420000
2019-04,YISHUN,421888
2019-04,YISHUN,423000
2019-04,YISHUN,431000
2019-04,YISHUN,440000
2019-04,YISHUN,445000
2019-04,YISHUN,590000
2019-04,YISHUN,598000
2019-04,YISHUN,600000
2019-04,YISHUN,610000
2019-05,SEMBAWANG,322000
2019-05,SEMBAWANG,330000
2019-05,SEMBAWANG,340000
2019-05,SEMBAWANG,358000
2019-05,SEMBAWANG,368000
2019-05,SEMBAWANG,375000
2019-05,SEMBAWANG,380000
2019-05,SEMBAWANG,395000
2019-05,SEMBAWANG,406000
2019-05,SEMBAWANG,415000
2019-05,WOODLANDS,350000
2019-05,WOODLANDS,359900
2019-05,WOODLANDS,360000
2019-05,WOODLANDS,360000
2019-05,WOODLANDS,368000
2019-05,WOODLANDS,375000
2019-05,WOODLANDS,380000
2019-05,WOODLANDS,380000
2019-05,WOODLANDS,380000
2019-05,WOODLANDS,388000
2019-05,WOODLANDS,388888
2019-05,WOODLANDS,394000
2019-05,WOODLANDS,400000
2019-05,WOODLANDS,400000
2019-05,WOODLANDS,402000
2019-05,WOODLANDS,405000
2019-05,WOODLANDS,405000
2019-05,WOODLANDS,418000
2019-05,YISHUN,335000
2019-05,YISHUN,360000
2019-05,YISHUN,368000
2019-05,YISHUN,370000
2019-05,YISHUN,378000
2019-05,YISHUN,380000
2019-05,YISHUN,380000
2019-05,YISHUN,380000
2019-05,YISHUN,383000
2019-05,YISHUN,398000
2019-05,YISHUN,400000
2019-05,YISHUN,400000
2019-05,YISHUN,405000
2019-05,YISHUN,405000
2019-05,YISHUN,408000
2019-05,YISHUN,416000
2019-05,YISHUN,419888
2019-05,YISHUN,425000
2019-05,YISHUN,428000
2019-05,YISHUN,501000
2019-05,YISHUN,508000
2019-05,YISHUN,520000
2019-05,YISHUN,570000
2019-05,YISHUN,578000
2019-05,YISHUN,618000
2019-06,SEMBAWANG,325000
2019-06,SEMBAWANG,352000
2019-06,SEMBAWANG,355000
2019-06,SEMBAWANG,358000
2019-06,SEMBAWANG,365000
2019-06,SEMBAWANG,368000
2019-06,SEMBAWANG,370000
2019-06,SEMBAWANG,379000
2019-06,SEMBAWANG,380000
2019-06,SEMBAWANG,380000
2019-06,WOODLANDS,352000
2019-06,WOODLANDS,380000
2019-06,WOODLANDS,398000
2019-06,WOODLANDS,405000
2019-06,WOODLANDS,410000
2019-06,WOODLANDS,440000
2019-06,YISHUN,353000
2019-06,YISHUN,365000
2019-06,YISHUN,368000
2019-06,YISHUN,385000
2019-06,YISHUN,388000
2019-06,YISHUN,389000
2019-06,YISHUN,393000
2019-06,YISHUN,395000
2019-06,YISHUN,408888
2019-06,YISHUN,413999
2019-06,YISHUN,415000
2019-06,YISHUN,415000
2019-06,YISHUN,420000
2019-06,YISHUN,420000
2019-06,YISHUN,430000
2019-06,YISHUN,430000
2019-06,YISHUN,435000
2019-06,YISHUN,530000
2019-06,YISHUN,530000
2019-06,YISHUN,560000
2019-06,YISHUN,583000
2019-06,YISHUN,613000
2019-06,YISHUN,620000
2019-07,SEMBAWANG,360000
2019-07,SEMBAWANG,380000
2019-07,SEMBAWANG,385000
2019-07,SEMBAWANG,390000
2019-07,SEMBAWANG,402000
2019-07,SEMBAWANG,415000
2019-07,SEMBAWANG,415000
2019-07,WOODLANDS,355000
2019-07,WOODLANDS,355000
2019-07,WOODLANDS,359000
2019-07,WOODLANDS,365000
2019-07,WOODLANDS,370000
2019-07,WOODLANDS,388000
2019-07,WOODLANDS,390000
2019-07,WOODLANDS,392500
2019-07,WOODLANDS,400000
2019-07,WOODLANDS,410000
2019-07,WOODLANDS,415000
2019-07,YISHUN,340000
2019-07,YISHUN,349000
2019-07,YISHUN,355000
2019-07,YISHUN,355888
2019-07,YISHUN,356000
2019-07,YISHUN,360000
2019-07,YISHUN,368000
2019-07,YISHUN,368888
2019-07,YISHUN,370000
2019-07,YISHUN,380000
2019-07,YISHUN,380000
2019-07,YISHUN,380000
2019-07,YISHUN,385000
2019-07,YISHUN,388000
2019-07,YISHUN,390000
2019-07,YISHUN,390000
2019-07,YISHUN,390000
2019-07,YISHUN,390000
2019-07,YISHUN,394000
2019-07,YISHUN,400000
2019-07,YISHUN,402000
2019-07,YISHUN,405000
2019-07,YISHUN,405000
2019-07,YISHUN,408000
2019-07,YISHUN,408888
2019-07,YISHUN,410000
2019-07,YISHUN,412000
2019-07,YISHUN,415000
2019-07,YISHUN,418000
2019-07,YISHUN,420000
2019-07,YISHUN,420000
2019-07,YISHUN,423000
2019-07,YISHUN,423000
2019-07,YISHUN,455000
2019-07,YISHUN,525000
2019-07,YISHUN,570000
2019-07,YISHUN,588000
2019-07,YISHUN,598000
2019-08,SEMBAWANG,305000
2019-08,SEMBAWANG,330000
2019-08,SEMBAWANG,350000
2019-08,SEMBAWANG,359000
2019-08,SEMBAWANG,360000
2019-08,SEMBAWANG,366000
2019-08,SEMBAWANG,380000
2019-08,SEMBAWANG,390000
2019-08,SEMBAWANG,400000
2019-08,SEMBAWANG,405000
2019-08,SEMBAWANG,420000
2019-08,WOODLANDS,330000
2019-08,WOODLANDS,340000
2019-08,WOODLANDS,370000
2019-08,WOODLANDS,370000
2019-08,WOODLANDS,371888
2019-08,WOODLANDS,375000
2019-08,WOODLANDS,375000
2019-08,WOODLANDS,378000
2019-08,WOODLANDS,385000
2019-08,WOODLANDS,388000
2019-08,WOODLANDS,392000
2019-08,WOODLANDS,400000
2019-08,WOODLANDS,408888
2019-08,WOODLANDS,415000
2019-08,WOODLANDS,425000
2019-08,WOODLANDS,430000
2019-08,WOODLANDS,431500
2019-08,WOODLANDS,435000
